cols=[6, 6, 5, 5, 5, 4, 4, 2, 0, 0], winRow=0, winCol=0
cols=[6, 6, 6, 1, 1, 1, 1, 1, 1, 1], winRow=0, winCol=0
cols=[6, 6, 6, 2, 2, 1, 1, 1, 0, 0], winRow=0, winCol=0
cols=[6, 6, 6, 2, 2, 2, 1, 1, 1, 0], winRow=0, winCol=0
cols=[6, 6, 6, 3, 1, 1, 1, 1, 1, 0], winRow=0, winCol=0
cols=[6, 6, 6, 3, 2, 2, 2, 2, 0, 0], winRow=0, winCol=0
cols=[6, 6, 6, 3, 3, 2, 1, 1, 0, 0], winRow=0, winCol=0
cols=[6, 6, 6, 3, 3, 3, 0, 0, 0, 0], winRow=0, winCol=0
cols=[6, 6, 6, 4, 1, 1, 1, 1, 0, 0], winRow=0, winCol=0
cols=[6, 6, 6, 4, 2, 1, 1, 1, 1, 0], winRow=0, winCol=0
cols=[6, 6, 6, 4, 3, 2, 0, 0, 0, 0], winRow=0, winCol=0
cols=[6, 6, 6, 4, 3, 3, 2, 1, 1, 0], winRow=0, winCol=0
cols=[6, 6, 6, 4, 3, 3, 3, 3, 2, 0], winRow=0, winCol=0
cols=[6, 6, 6, 4, 4, 2, 2, 1, 1, 0], winRow=0, winCol=0
cols=[6, 6, 6, 4, 4, 3, 2, 2, 2, 0], winRow=0, winCol=0
cols=[6, 6, 6, 4, 4, 4, 3, 2, 2, 0], winRow=0, winCol=0
cols=[6, 6, 6, 4, 4, 4, 4, 3, 3, 0], winRow=0, winCol=0
cols=[6, 6, 6, 5, 2, 2, 2, 1, 1, 0], winRow=0, winCol=0
cols=[6, 6, 6, 5, 3, 3, 1, 1, 0, 0], winRow=0, winCol=0
cols=[6, 6, 6, 5, 3, 3, 2, 2, 2, 0], winRow=0, winCol=0
cols=[6, 6, 6, 5, 4, 2, 0, 0, 0, 0], winRow=0, winCol=0
cols=[6, 6, 6, 5, 4, 3, 3, 2, 0, 0], winRow=0, winCol=0
cols=[6, 6, 6, 5, 4, 3, 3, 3, 2, 0], winRow=0, winCol=0
cols=[6, 6, 6, 5, 4, 4, 2, 2, 0, 0], winRow=0, winCol=0
cols=[6, 6, 6, 5, 4, 4, 3, 3, 3, 0], winRow=0, winCol=0
cols=[6, 6, 6, 5, 4, 4, 4, 2, 2, 0], winRow=0, winCol=0
cols=[6, 6, 6, 5, 5, 2, 2, 2, 2, 0], winRow=0, winCol=0
cols=[6, 6, 6, 5, 5, 3, 3, 3, 0, 0], winRow=0, winCol=0
cols=[6, 6, 6, 5, 5, 4, 4, 2, 0, 0], winRow=0, winCol=0
cols=[6, 6, 6, 6, 2, 2, 2, 2, 2, 0], winRow=0, winCol=0
cols=[6, 6, 6, 6, 3, 2, 2, 1, 1, 0], winRow=0, winCol=0
cols=[6, 6, 6, 6, 3, 3, 2, 2, 0, 0], winRow=0, winCol=0
cols=[6, 6, 6, 6, 4, 3, 2, 1, 1, 0], winRow=0, winCol=0
cols=[6, 6, 6, 6, 4, 3, 3, 3, 0, 0], winRow=0, winCol=0
cols=[6, 6, 6, 6, 4, 4, 1, 1, 0, 0], winRow=0, winCol=0
cols=[6, 6, 6, 6, 4, 4, 3, 1, 1, 0], winRow=0, winCol=0
